MARUTI SUZUKI,,,,,,,,,,,,,,,,,,,
,S.No,Parent Company / Group,Model Name,Variant / Trim Name,Colors Available,,,,,,,,,,,,,,
,1,Suzuki Motor Group,Victoris,LXI / VXI / ZXI /ZXI+/ ZXI+(O),"Splendid Silver,Sizzling Red,Eternal Blue,Mystic Green,Bluish Black,Magma Grey,Pearl Arctic White,Eternal Blue with Bluish Black Roof,Sizzling Red with Bluish Black Roof,Splendid Silver with Bluish Black Roof",,,,,,,,,,,,,,
,2,Suzuki Motor Group,Grand Vitara,Sigma / Delta / Zeta /Alpha(market trims),"Nexa Blue,Arctic White,Splendid Silver,Grandeur Grey,Chestnut Brown,Opulent Red,Arctic White with Black Roof,Splendid Silver with Black Roof,Opulent Red with Black Roof,Midnight Black",, ,,,,,,,,,,,,
,3,Suzuki Motor Group,Fronx,Sigma / Delta / Delta+ / Delta+(O) / Zeta / Alpha,"Nexa Blue (Celestial),Arctic White,Splendid Silver,Grandeur Grey,Earthen Brown,Opulent Red,Earthen Brown with Bluish Black Roof,Splendid Silver With Bluish Black Roof,Opulent Red with Bluish Black Roof,Bluish Black.",,,,,,,,,,,,,,
,4,Suzuki Motor Group,Brezza,LXi / VXi / ZXi / ZXi+ ,Sizzling Red,Brave Khaki,Exuberant blue,Magma Grey,Splendid Silver,Pearl Arctic White,Splendid Silver with Bluish Black Roof,Brave Khaki with Arctic White Roof,Sizziling Red with Bluish Black Roof,Bluish Black,,,,,
,5,Suzuki Motor Group,Baleno,Sigma / Delta / Zeta / Alpha,Nexa Blue,Splendid Silver,Opulent Red,Grandeur Grey,Arctic White,Luxe Beige,Bluish Black,,,,,,,,
,6,Suzuki Motor Group,Swift,LXi / VXi / VXi(O) / ZXi / ZXi+,Sizzling Red,Luster Blue,Novel Orange,Magma Grey,Splendid Silver,Pearl Arctic White,Sizzling Red with Bluish Black Roof,Luster Blue with Bluish Black Roof,Pearl Arctic White with Bluish Black Roof,Bluish Black,,,,,
,7,Suzuki Motor Group,Dzire,LXi / VXi / ZXi / ZXi+,Splendid Silver,Bluish Black,Arctic White,Magma Grey,Gallant Red,Alluring Blue,Nutmeg Brown,,,,,,,,
,8,Suzuki Motor Group,Ertiga,LXi / VXi / ZXi / ZXi+,Arctic White,Splendid Silver,Magma Grey,Pearl Metallic Dignity Brown,Bluish Black,,,,,,,,,,
,9,Suzuki Motor Group,XL6,Alpha / Zeta,Arctic White,Splendid Silver,Grandeur Grey,Brave Khaki,Opulent Red,Nexa Blue (Celestial),Splendid Silver with Midnight Black Roof,Brave Khaki with Midnight Black Roof,Opulent Red with Midnight Black Roof,Bluish Black,,,,,
,10,Suzuki Motor Group,WagonR,LXi / VXi / ZXi / ZXi+,Solid White,Pearl Metallic Poolside Blue,Metallic Magma Grey,Magma Grey with Black Roof,Metallic Silky Silver,Peral Metallic Nutmeg Brown,Pearl Metallic Gallant Red,Metallic Gallant Red with Bluish Black Roof,Pearl Bluish Black,,,,,,
,11,Suzuki Motor Group,Alto K10 / Alto,Std(O) / LXi(O) / VXi(O) / VXi+(O),Solid White,Metallic Silky Silver,Metallic Granite Grey,Metallic Speedy Blue,Metallic Sizzling Red,Premium Earth Gold,Bluish Black,,,,,,,,
,12,Suzuki Motor Group,S-Presso,Std(O) / LXi(O) / VXi(O) / VXi+(O),Solid Fire Red,Solid Sizzle Orange,Pearl Starry Blue,Metallic Granite Grey,Metallic Silky Silver,Solid White,Bluish Black,,,,,,,,
,13,Suzuki Motor Group,Celerio,LXi / VXi / ZXi / ZXi+,Metallic Speedy Blue,Metallic Glistening Grey,Pearl Arctic White,Metallic Silky Silver,Solid Fire Red,Pearl Caffeine Brown,Pearl Bluish Black,,,,,,,,
,14,Suzuki Motor Group,Ignis,Sigma / Delta / Zeta / Alpha,Nexa Blue,Turquoise Blue,Lucent Orange,Glistening Grey,Silky Silver,Pearl Arctic White,Nexa Blue with Black Roof,Nexa Blue with Silver Roof,Lucent Orange with Black Roof,Pearl Midnight Black,,,,,
,15,Suzuki Motor Group,Jimny,Zeta / Alpha,Bluish Black,Kinetic Yellow with Bluish Black Roof,Sizzling Red with Bluish Black Roof,Nexa Blue,Sizzling Red,Granite Gray,Pearl Arctic White,,,,,,,,
,16,Suzuki Motor Group,Eeco,STD(O) / AC(O),Solid White,Bluish Black,Metallic Silky Silver,Metallic Glistening Grey,Metallic Brisk Blue,,,,,,,,,,
,17,Suzuki Motor Group,S-CROSS,Sigma / Delta / Zeta,Granite Grey,Nexa Blue,Caffeine Brown,Pearl Arctic White,Premium Silver,,,,,,,,,,
,18,Suzuki Motor Group,Invicto / Fronx variants (Commercial / special),—,Nexa Blue (Celestial),Stellar Bronze,Majestic Silver,Mystic White,Magnificent Black,,,,,,,,,,
,19,Suzuki Motor Group,ciaz,Sigma / Delta / Zeta / Alpha,Prme. Dignity Brown,Bluish Black,Prme. Splendid Silver,Prme. Celestial Blue,Prme. Opulent Red,Prme. Opulent Red with Bluish Black roof,Prme. Grandeur Gray with Bluish Black roof,Prme. Dignity Brown and Bluish Black roof,Prme. Grandeur Gray,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
TOYOTA,,,,,,,,,,,,,,,,,,,
,S.No,Parent Company / Group,Model Name,Variant / Trim Name,,,,,,,,,,,,,,,
