Designator,Mid X,Mid Y,Layer,Rotation
33uh1,127.4000mm,75.8000mm,T,0
C1,111.9750mm,110.7491mm,T,90
C2,129.5750mm,91.7000mm,T,-90
C3,176.4000mm,77.3875mm,T,-90
C4,176.4000mm,72.8500mm,T,90
C5,134.4750mm,110.6500mm,T,180
C6,134.5750mm,108.4500mm,T,0
C7,131.4750mm,76.0500mm,T,0
C8,134.3750mm,91.7500mm,T,90
C9,131.9750mm,91.8000mm,T,90
C10,132.0250mm,87.6500mm,T,90
C11,129.7250mm,87.6500mm,T,90
C12,134.3250mm,87.6500mm,T,90
C13,127.2750mm,91.6500mm,T,90
C14,130.2250mm,101.1000mm,T,90
C15,127.5250mm,87.5500mm,T,-90
C16,127.4000mm,71.1000mm,T,180
C17,128.3250mm,96.9500mm,T,-90
C18,143.9250mm,111.5500mm,T,0
C19,113.1000mm,86.9500mm,T,180
C20,146.6250mm,101.8500mm,T,90
C21,160.3250mm,104.8500mm,T,-90
C22,124.3750mm,81.7000mm,T,-90
C23,126.7750mm,81.7000mm,T,90
C24,131.4750mm,71.2000mm,T,0
C25,127.4000mm,73.3000mm,T,0
C26,130.2750mm,114.1500mm,T,0
C27,173.2750mm,103.6000mm,T,0
C29,158.0250mm,108.9000mm,T,-90
C30,158.0250mm,104.8500mm,T,-90
C31,144.4250mm,105.9500mm,T,-90
C32,144.3750mm,101.8500mm,T,-90
C33,145.3750mm,98.7500mm,T,0
C34,116.5750mm,110.7491mm,T,90
C35,114.3750mm,110.7491mm,T,90
C36,131.4750mm,73.4000mm,T,180
D1,137.9750mm,103.3000mm,T,0
D2,187.5500mm,113.1500mm,T,90
D3,120.2000mm,87.6500mm,T,180
D4,118.7750mm,110.7375mm,T,90
D5,165.3750mm,99.8000mm,T,180
D6,172.0750mm,99.8500mm,T,0
D7,108.6250mm,107.9000mm,T,0
D8,133.0250mm,81.5500mm,T,180
D9,107.3500mm,70.1500mm,T,90
D10,169.4500mm,104.6000mm,T,0
D11,169.4375mm,106.2000mm,T,180
D12,105.8750mm,113.1500mm,T,-90
DZ1,126.0250mm,97.2500mm,T,90
F1,183.6000mm,105.4500mm,T,-90
F2,125.8750mm,101.1500mm,T,0
FB1,121.0250mm,110.7000mm,T,-90
J1,182.7250mm,94.2500mm,T,180
J2,182.1250mm,75.2000mm,T,180
J3,182.1250mm,81.1500mm,T,180
J4,135.9100mm,114.5000mm,T,90
J5,105.8250mm,77.5000mm,T,-90
J6,176.2000mm,112.4250mm,T,0
J7,162.6500mm,112.3500mm,T,0
L1,113.1091mm,84.8000mm,T,0
Q2,132.2750mm,97.6000mm,T,0
R1,188.3000mm,109.9750mm,T,-90
R2,179.1250mm,103.8500mm,T,0
R3,119.3750mm,114.0500mm,T,0
R4,159.4500mm,112.7500mm,T,-90
R5,186.5500mm,109.9250mm,T,90
R6,135.4125mm,72.6000mm,T,0
R7,123.8250mm,93.6500mm,T,-90
R8,135.4125mm,70.5500mm,T,180
R9,135.4125mm,74.6500mm,T,0
R10,135.4125mm,68.4000mm,T,0
R14,135.4125mm,76.6500mm,T,180
R15,164.6875mm,102.7000mm,T,180
R16,123.8250mm,97.1500mm,T,-90
R17,124.2750mm,75.4000mm,T,90
R19,124.2750mm,71.8000mm,T,90
R20,182.8000mm,109.8375mm,T,90
R21,183.4625mm,112.6500mm,T,0
R22,153.6125mm,101.4500mm,T,0
R23,178.6500mm,84.7625mm,T,90
R24,176.5750mm,84.7625mm,T,90
R25,105.7250mm,110.2500mm,T,180
R26,112.1250mm,113.8000mm,T,180
U3,124.4750mm,112.9000mm,T,180
U4,116.7750mm,101.9750mm,T,-90
U5,117.3500mm,73.1750mm,T,90
U6,164.6750mm,107.1000mm,T,180
U10,139.2375mm,110.9500mm,T,0
U12,157.7550mm,100.5200mm,T,0
U13,157.6250mm,81.7500mm,T,0
U20,128.0750mm,107.0000mm,T,0
U21,151.5250mm,107.7500mm,T,180
